data/output/64/permutations/tdepth/23/	1412.85	988.196	4146091	4485	7
data/output/64/permutations/tdepth/24/	1769.21	1434.01	4363757	4862	6
data/output/64/permutations/tdepth/27/	1687.26	1947.93	4383863	2775	5
data/output/64/permutations/tdepth/28/	2629.6	3107.28	4996702	2950	4
data/output/64/permutations/tdepth/9/	0.274488	0.122657	17620	2580	100
data/output/64/permutations/tdepth/10/	0.261888	0.112847	16724	2446	100
data/output/64/permutations/tdepth/14/	0.261663	0.123728	16768	2595	100
data/output/64/permutations/tdepth/17/	0.296065	0.130587	19562	2633	100
data/output/64/permutations/tdepth/18/	0.269591	0.105928	17945	2682	100
data/output/64/permutations/tdepth/21/	0.277538	0.109645	17942	2462	100
data/output/64/permutations/tdepth/25/	0.266587	0.117881	17732	2499	100
data/output/64/permutations/tdepth/26/	0.258455	0.0969255	17026	2450	100
data/output/64/permutations/tcount/0/	0.0133581	0.00397632	6158	5852	100
data/output/64/permutations/tcount/1/	0.153145	0.0641331	10321	1126	100
data/output/64/permutations/tcount/2/	0.352872	0.179023	20379	581	100
data/output/64/permutations/tcount/5/	0.147251	0.0667863	10128	1088	100
data/output/64/permutations/tcount/6/	0.519186	0.283166	29732	488	100
data/output/64/permutations/tcount/13/	0.419406	0.193099	22695	617	100
data/output/64/permutations/tcount/22/	0.412641	0.196296	22538	620	100
data/output/64/permutations/tcount/29/	0.282246	0.127288	17135	592	100
data/output/64/permutations/tcount/3/	12.1287	12.0984	550104	814	100
data/output/64/permutations/tcount/4/	10.4499	10.6104	476769	770	100
data/output/64/permutations/tcount/7/	25.7708	21.9075	1192389	739	100
data/output/64/permutations/tcount/8/	29.4839	24.3179	1462333	928	100
data/output/64/permutations/tcount/11/	29.8317	32.3401	1311800	895	100
data/output/64/permutations/tcount/12/	21.7546	20.252	990369	695	100
data/output/64/permutations/tcount/15/	21.9205	19.1712	977544	912	100
data/output/64/permutations/tcount/16/	33.0821	33.3935	1487268	820	100
data/output/64/permutations/tcount/19/	35.1375	29.8992	1552596	935	100
data/output/64/permutations/tcount/20/	25.8772	24.9235	1152636	820	100
data/output/64/permutations/tcount/23/	20.1767	16.6626	901644	811	100
data/output/64/permutations/tcount/24/	16.9632	14.3468	768725	807	100
data/output/64/permutations/tcount/27/	35.8725	35.0977	1756238	813	100
data/output/64/permutations/tcount/28/	18.7376	18.2721	836523	904	100
data/output/64/permutations/tcount/9/	0.173975	0.0618664	10834	1567	100
data/output/64/permutations/tcount/10/	0.175191	0.0689837	10998	1558	100
data/output/64/permutations/tcount/14/	0.17781	0.0652139	11027	1762	100
data/output/64/permutations/tcount/17/	0.192823	0.0890892	11664	1650	100
data/output/64/permutations/tcount/18/	0.18115	0.0666857	11111	1725	100
data/output/64/permutations/tcount/21/	0.191059	0.0761182	11705	1664	100
data/output/64/permutations/tcount/25/	0.178135	0.0652866	11131	1582	100
data/output/64/permutations/tcount/26/	0.180029	0.069545	11175	1625	100
data/output/65/005/rz_4/	0.020316	0.0232399	20427	100	0
data/output/65/005/rz_5/	0.206428	0.202124	159398	100	0
data/output/65/10_2/rz_4/	3390.4	-nan	20911687	1	0
data/output/65/10_2/rz_5/	0	-nan	124212977	0	0
data/output/65/10_2/rz_6/	603.024	706.475	18894189	3	0
data/output/65/10_2/rz_7/	11.0614	12.5841	6006191	100	0
data/output/65/005/crz_2/	0.00200655	0.00409394	284	145	0
data/output/65/10_2/crz_2/	0.00208776	0.00433171	341	145	0
data/output/65/005/crk_2/	0.00204362	0.0040575	258	144	0
data/output/65/10_2/crk_2/	0.00194792	0.00448184	276	138	0
data/output/65/10_3/ccrz_2/	797.146	796.268	3416084	9	0
data/output/66/carry_relative/	1.04911	0.387322	32012	22633	100
data/output/66/carry_relative_cnot/	0.35895	0.38468	43788	1001	0
